epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.0693,1.88597,4.23234,1.34007,0.79958,0.10066,0.12114,0.05395,2.06194,2.83637,1.5501,0.000174747,0.000174747,0.000174747
2,147.855,1.67183,2.71153,1.21553,0.84804,0.11993,0.19788,0.08845,2.07565,2.68716,1.65776,0.000345748,0.000345748,0.000345748
3,214.497,1.65839,2.28052,1.23146,0.73403,0.16551,0.20166,0.0861,2.08985,2.56204,1.66955,0.00051241,0.00051241,0.00051241
4,280.388,1.62414,1.93947,1.22591,0.70113,0.19102,0.22589,0.09013,2.08476,2.48129,1.66526,0.000506472,0.000506472,0.000506472
5,349.139,1.59278,1.73578,1.21163,0.68468,0.20753,0.28909,0.12896,2.05331,2.3777,1.60886,0.000499963,0.000499963,0.000499963
6,420.636,1.5705,1.62529,1.20719,0.39691,0.27327,0.28275,0.12049,2.0798,2.25149,1.64233,0.000493454,0.000493454,0.000493454
7,490.084,1.53629,1.52101,1.18057,0.47249,0.2912,0.28805,0.13987,2.05603,2.19474,1.65656,0.000486945,0.000486945,0.000486945
8,558.367,1.51121,1.41331,1.1686,0.76746,0.21885,0.27638,0.10956,2.11486,2.23022,1.69954,0.000480435,0.000480435,0.000480435
9,622.514,1.51059,1.3742,1.1715,0.74443,0.28963,0.31518,0.13033,2.19872,2.24447,1.76208,0.000473926,0.000473926,0.000473926
10,687.387,1.49136,1.31992,1.16117,0.50005,0.24351,0.27753,0.12791,2.07407,2.26291,1.64157,0.000467417,0.000467417,0.000467417
11,754.423,1.45014,1.26256,1.14178,0.51832,0.31056,0.32773,0.13531,2.15787,2.27143,1.73877,0.000460907,0.000460907,0.000460907
12,821.931,1.44022,1.22316,1.13129,0.3747,0.32988,0.32865,0.14163,2.15518,2.25943,1.7459,0.000454398,0.000454398,0.000454398
13,887.478,1.42856,1.19687,1.12886,0.43469,0.30884,0.3263,0.13841,2.12927,2.28175,1.73303,0.000447889,0.000447889,0.000447889
14,951.44,1.40715,1.15236,1.12554,0.55681,0.36407,0.40456,0.16847,2.07759,2.18833,1.70517,0.00044138,0.00044138,0.00044138
15,1019.15,1.39202,1.10336,1.11686,0.45904,0.2973,0.34105,0.14072,2.16275,2.33089,1.7716,0.00043487,0.00043487,0.00043487
16,1086.46,1.37448,1.09704,1.11625,0.66712,0.27198,0.32382,0.14772,2.1,2.10879,1.75527,0.000428361,0.000428361,0.000428361
17,1150.58,1.37859,1.07097,1.11631,0.38589,0.35766,0.30466,0.1341,2.14028,2.23024,1.81954,0.000421852,0.000421852,0.000421852
18,1216.4,1.33623,1.03064,1.09175,0.5954,0.2684,0.28765,0.12593,2.19863,2.34648,1.81092,0.000415343,0.000415343,0.000415343
19,1281.65,1.3446,1.01588,1.09538,0.35061,0.29759,0.30215,0.12418,2.17323,2.25973,1.76832,0.000408834,0.000408834,0.000408834
20,1345.63,1.32877,0.99832,1.08887,0.57629,0.2958,0.36177,0.15507,2.19909,2.24765,1.81151,0.000402324,0.000402324,0.000402324
21,1409.64,1.30824,0.9842,1.08042,0.68055,0.30776,0.38795,0.16456,2.19679,2.27551,1.89806,0.000395815,0.000395815,0.000395815
22,1474.3,1.30926,0.92485,1.0762,0.74025,0.2707,0.3422,0.15737,2.13151,2.2913,1.76296,0.000389306,0.000389306,0.000389306
23,1531.35,1.28595,0.92863,1.06521,0.57738,0.28385,0.32136,0.14759,2.19692,2.42935,1.79184,0.000382796,0.000382796,0.000382796
24,1585.29,1.28215,0.91493,1.06867,0.4982,0.32676,0.34857,0.15615,2.16611,2.30869,1.82516,0.000376287,0.000376287,0.000376287
25,1640,1.27086,0.8804,1.06286,0.54475,0.31195,0.3363,0.15608,2.22769,2.34444,1.85607,0.000369778,0.000369778,0.000369778
26,1694.02,1.25666,0.88024,1.04794,0.45727,0.34281,0.3429,0.14366,2.20255,2.22678,1.86956,0.000363269,0.000363269,0.000363269
27,1747.22,1.24478,0.8693,1.04742,0.43572,0.31531,0.3221,0.1443,2.19969,2.35947,1.86266,0.00035676,0.00035676,0.00035676
28,1802.07,1.23141,0.84456,1.04581,0.36559,0.3545,0.35859,0.16155,2.22256,2.36146,1.83855,0.00035025,0.00035025,0.00035025
29,1857.5,1.2407,0.83644,1.04559,0.54997,0.2956,0.3317,0.15641,2.19198,2.37241,1.82582,0.000343741,0.000343741,0.000343741
30,1912.2,1.22123,0.82223,1.0338,0.73873,0.29594,0.34855,0.1574,2.2578,2.2867,1.89068,0.000337232,0.000337232,0.000337232
31,1966.67,1.2135,0.81179,1.02954,0.58028,0.32246,0.35956,0.16603,2.18622,2.39601,1.8275,0.000330722,0.000330722,0.000330722
32,2021.27,1.20212,0.80812,1.02524,0.50232,0.33668,0.35547,0.14589,2.21257,2.27019,1.90814,0.000324213,0.000324213,0.000324213
33,2075.92,1.18696,0.79398,1.02003,0.60162,0.34153,0.34944,0.1426,2.18179,2.5013,1.84308,0.000317704,0.000317704,0.000317704
34,2130.62,1.18874,0.78578,1.02526,0.36593,0.35822,0.35371,0.16361,2.15779,2.38102,1.83832,0.000311195,0.000311195,0.000311195
35,2185.19,1.16232,0.76811,1.00394,0.7704,0.27263,0.3411,0.1619,2.19489,2.4254,1.84475,0.000304685,0.000304685,0.000304685
36,2238.73,1.16069,0.75999,1.01176,0.65456,0.30035,0.35693,0.16279,2.24964,2.4247,1.92159,0.000298176,0.000298176,0.000298176
37,2292.14,1.16056,0.75455,1.01156,0.50426,0.29568,0.32149,0.14389,2.21736,2.54876,1.8737,0.000291667,0.000291667,0.000291667
38,2346.98,1.14713,0.74706,1.00485,0.42616,0.32878,0.31177,0.13943,2.25789,2.54172,1.94452,0.000285158,0.000285158,0.000285158
39,2401.07,1.14376,0.73383,1.00444,0.75957,0.30315,0.38939,0.17418,2.21837,2.3567,1.86659,0.000278649,0.000278649,0.000278649
40,2454.53,1.14102,0.72981,0.99973,0.4863,0.35607,0.3824,0.15995,2.21941,2.39926,1.90142,0.000272139,0.000272139,0.000272139
41,2508.21,1.12731,0.71122,0.9923,0.57314,0.32964,0.35698,0.13772,2.26024,2.41182,1.90273,0.00026563,0.00026563,0.00026563
42,2562.42,1.10884,0.70411,0.99176,0.64062,0.32035,0.3374,0.15143,2.19243,2.35849,1.91526,0.000259121,0.000259121,0.000259121
43,2616.95,1.11152,0.70051,0.98751,0.58786,0.33806,0.3581,0.15826,2.27131,2.31114,1.97668,0.000252611,0.000252611,0.000252611
44,2670.72,1.09435,0.68687,0.9751,0.56223,0.34356,0.37157,0.16323,2.21202,2.40751,1.93449,0.000246102,0.000246102,0.000246102
45,2723.84,1.09001,0.68555,0.97645,0.59675,0.30872,0.3644,0.15112,2.24256,2.38526,1.91369,0.000239593,0.000239593,0.000239593
46,2777.29,1.084,0.67931,0.97687,0.67106,0.30009,0.38376,0.16679,2.21006,2.4097,1.91198,0.000233084,0.000233084,0.000233084
47,2831.62,1.07444,0.66868,0.98069,0.48495,0.35295,0.36919,0.149,2.27596,2.39448,1.97912,0.000226575,0.000226575,0.000226575
48,2885.81,1.06515,0.66585,0.97292,0.51601,0.34235,0.35578,0.15804,2.25486,2.39285,2.01264,0.000220065,0.000220065,0.000220065
49,2939.65,1.05868,0.66401,0.97407,0.54883,0.35407,0.37663,0.15402,2.25524,2.34744,1.99856,0.000213556,0.000213556,0.000213556
50,2993.73,1.06093,0.65587,0.97,0.53211,0.33648,0.35453,0.15166,2.2319,2.3953,1.95138,0.000207047,0.000207047,0.000207047
51,3047.94,1.05437,0.64429,0.96906,0.3563,0.36354,0.3238,0.13408,2.18526,2.36071,1.9391,0.000200537,0.000200537,0.000200537
52,3102.56,1.04588,0.6336,0.96503,0.53691,0.34265,0.36935,0.14543,2.22575,2.39522,1.98747,0.000194028,0.000194028,0.000194028
53,3156.61,1.02837,0.62828,0.95704,0.69154,0.29724,0.36366,0.15119,2.24845,2.41643,1.98394,0.000187519,0.000187519,0.000187519
54,3210.46,1.02916,0.63045,0.95624,0.53545,0.36268,0.37464,0.17657,2.20153,2.42583,1.90967,0.00018101,0.00018101,0.00018101
55,3264.2,1.0246,0.61682,0.95474,0.43255,0.3613,0.38085,0.1616,2.22499,2.46679,1.93902,0.0001745,0.0001745,0.0001745
56,3318.83,1.01509,0.61746,0.95001,0.51866,0.35647,0.37214,0.16321,2.16288,2.46404,1.92047,0.000167991,0.000167991,0.000167991
57,3373.06,1.00719,0.61151,0.95282,0.38745,0.37463,0.34829,0.14421,2.22502,2.47638,1.96386,0.000161482,0.000161482,0.000161482
58,3426.68,1.00162,0.60735,0.94523,0.45998,0.35282,0.34757,0.16091,2.21249,2.48509,1.93326,0.000154973,0.000154973,0.000154973
59,3480.39,1.00634,0.5956,0.95173,0.4149,0.35707,0.33099,0.14119,2.19335,2.40623,1.93507,0.000148463,0.000148463,0.000148463
60,3534.5,0.99578,0.6015,0.94401,0.51367,0.34595,0.35778,0.16268,2.22487,2.50833,1.98382,0.000141954,0.000141954,0.000141954
61,3588.9,0.97899,0.58834,0.93852,0.52396,0.3817,0.37432,0.15555,2.23075,2.41323,1.97901,0.000135445,0.000135445,0.000135445
62,3642.9,0.97661,0.57911,0.93656,0.51058,0.36627,0.36046,0.15446,2.21998,2.5759,1.98589,0.000128936,0.000128936,0.000128936
63,3696.9,0.97001,0.57588,0.93724,0.5716,0.37681,0.37542,0.16581,2.21332,2.50927,1.95126,0.000122426,0.000122426,0.000122426
64,3750.98,0.96086,0.57346,0.93407,0.69259,0.33905,0.40008,0.16856,2.1981,2.46442,1.97587,0.000115917,0.000115917,0.000115917
65,3805.43,0.95906,0.57248,0.9325,0.49926,0.3635,0.37611,0.15734,2.22696,2.68933,1.96049,0.000109408,0.000109408,0.000109408
66,3859.66,0.96225,0.56258,0.93371,0.51086,0.33995,0.35831,0.16159,2.21164,2.6079,1.9424,0.000102899,0.000102899,0.000102899
67,3913.65,0.95155,0.56473,0.9296,0.58045,0.35304,0.37537,0.16414,2.17173,2.50208,1.91205,9.63895e-05,9.63895e-05,9.63895e-05
68,3967.87,0.95383,0.56498,0.92869,0.65142,0.32427,0.36753,0.16924,2.19248,2.50815,1.94275,8.98803e-05,8.98803e-05,8.98803e-05
69,4021.82,0.94472,0.55771,0.92869,0.65323,0.33822,0.38476,0.16901,2.20435,2.52381,1.98066,8.3371e-05,8.3371e-05,8.3371e-05
70,4075.95,0.92821,0.53964,0.92007,0.4014,0.37452,0.3866,0.16074,2.19901,2.57715,1.97758,7.68617e-05,7.68617e-05,7.68617e-05
71,4142.04,0.92154,0.52125,0.94294,0.60353,0.32071,0.35143,0.15833,2.18558,2.49487,1.95074,7.03525e-05,7.03525e-05,7.03525e-05
72,4194.52,0.89836,0.50481,0.93404,0.61668,0.31708,0.36949,0.16339,2.17016,2.46607,1.93003,6.38433e-05,6.38433e-05,6.38433e-05
73,4247.62,0.90214,0.49465,0.93688,0.64824,0.31932,0.36696,0.15716,2.2199,2.56935,1.96318,5.7334e-05,5.7334e-05,5.7334e-05
74,4301.27,0.87792,0.49687,0.92486,0.57906,0.33328,0.36938,0.16063,2.20094,2.47588,1.97173,5.08248e-05,5.08248e-05,5.08248e-05
75,4354.54,0.87014,0.48787,0.92377,0.63755,0.33028,0.38794,0.16574,2.21322,2.53882,1.98396,4.43155e-05,4.43155e-05,4.43155e-05
76,4407.12,0.86098,0.47706,0.91887,0.64478,0.32084,0.36545,0.16208,2.18429,2.52838,1.96609,3.78062e-05,3.78062e-05,3.78062e-05
77,4459.59,0.86317,0.47364,0.92143,0.63219,0.33081,0.37193,0.1646,2.18411,2.53689,1.95522,3.1297e-05,3.1297e-05,3.1297e-05
78,4513.5,0.85503,0.47579,0.92122,0.62332,0.31463,0.36815,0.16959,2.17733,2.51629,1.95719,2.47877e-05,2.47877e-05,2.47877e-05
